"IndicatorCode","IndicatorName","VariableName","MeasurementName","CountryCode","Alpha3Code","CountryName","PeriodCode","Value",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","300","GRC","Греция","2008","7.8",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","300","GRC","Греция","2009","9.8",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","300","GRC","Греция","2010","12.9",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","300","GRC","Греция","2011","18.1",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","300","GRC","Греция","2012","24.8",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","300","GRC","Греция","2013","27.8",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","300","GRC","Греция","2014","26.6",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","300","GRC","Греция","2015","25.0",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","300","GRC","Греция","2016","23.9",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","300","GRC","Греция","2017","21.8",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","300","GRC","Греция","2018","19.7",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","300","GRC","Греция","2019","17.9",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","300","GRC","Греция","2020","17.6",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","268","GEO","Грузия","2005","15.1",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","268","GEO","Грузия","2006","15.4",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","268","GEO","Грузия","2007","17.4",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","268","GEO","Грузия","2008","17.9",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","268","GEO","Грузия","2009","18.3",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","268","GEO","Грузия","2010","17.4",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","268","GEO","Грузия","2011","17.3",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","268","GEO","Грузия","2012","17.2",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","268","GEO","Грузия","2013","16.9",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","268","GEO","Грузия","2014","14.6",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","268","GEO","Грузия","2015","14.1",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","268","GEO","Грузия","2016","14.0",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","268","GEO","Грузия","2017","13.9",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","268","GEO","Грузия","2018","12.7",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","268","GEO","Грузия","2019","11.6",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","268","GEO","Грузия","2020","..",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","208","DNK","Дания","2005","4.8",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","208","DNK","Дания","2006","3.9",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","208","DNK","Дания","2007","3.8",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","208","DNK","Дания","2008","3.7",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","208","DNK","Дания","2009","6.4",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","208","DNK","Дания","2010","7.7",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","208","DNK","Дания","2011","7.8",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","208","DNK","Дания","2012","7.8",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","208","DNK","Дания","2013","7.4",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","208","DNK","Дания","2014","6.9",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","208","DNK","Дания","2015","6.3",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","208","DNK","Дания","2016","6.0",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","208","DNK","Дания","2017","5.8",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","208","DNK","Дания","2018","5.1",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","208","DNK","Дания","2019","5.0",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","208","DNK","Дания","2020","5.6",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","376","ISR","Израиль","2005","9.0",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","376","ISR","Израиль","2006","8.4",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","376","ISR","Израиль","2007","7.3",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","376","ISR","Израиль","2008","6.1",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","376","ISR","Израиль","2009","7.5",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","376","ISR","Израиль","2010","6.6",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","376","ISR","Израиль","2011","5.6",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","376","ISR","Израиль","2012","6.9",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","376","ISR","Израиль","2013","6.3",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","376","ISR","Израиль","2014","5.9",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","376","ISR","Израиль","2015","5.2",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","376","ISR","Израиль","2016","4.8",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","376","ISR","Израиль","2017","4.2",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","376","ISR","Израиль","2018","4.0",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","376","ISR","Израиль","2019","..",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","376","ISR","Израиль","2020","..",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","372","IRL","Ирландия","2005","4.6",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","372","IRL","Ирландия","2006","4.8",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","372","IRL","Ирландия","2007","5.0",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","372","IRL","Ирландия","2008","6.8",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","372","IRL","Ирландия","2009","12.6",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","372","IRL","Ирландия","2010","14.6",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","372","IRL","Ирландия","2011","15.4",
